t,PE
0, -23.69854692538276
5, -23.715672160884715
10, -24.10299710417215
15, -24.595330683034526
20, -25.281770193744865
25, -26.13504685197572
30, -27.10853394475278
35, -28.06527930150838
40, -28.73791134059834
45, -29.068765631392424
50, -29.894902351921708
55, -32.09415504768351
60, -35.00470642087049
65, -37.467372367801985
70, -38.86182878259865
75, -38.51778843080008
80, -36.63799510511196
85, -37.54375873764523
90, -39.982736151244154
95, -39.66093145844729
100, -41.83045249015332
105, -43.21360269451632
110, -43.292217157814136
115, -45.804997302808786
120, -47.55861205033752
125, -47.91190330150046
130, -47.217208191134375
135, -46.0214187120056
140, -45.93525506485643
145, -46.02094368392554
150, -42.99560423024868
155, -43.25575198546335
160, -45.40057856809686
165, -46.42728307358876
170, -47.590459985463816
175, -46.984359093513305
180, -46.332289411237035
185, -46.12400173454673
190, -46.178146393407275
195, -45.91548906560825
200, -45.01887435706615
205, -44.025088605353105
210, -42.52179182616749
215, -43.343733179427346
220, -46.19428899406491
225, -46.955927677668804
230, -45.00612747020094
235, -42.28659044991626
240, -41.00910004884901
245, -42.434420990673985
250, -42.92547389278589
255, -42.436694719758215
260, -41.97027090583423
265, -37.38164953456982
270, -34.87102178326779
275, -38.85176752949608
280, -43.065010814940166
285, -45.17667371721811
290, -45.559863112183756
295, -43.72133966733777
300, -39.96701620473315
305, -38.60647088032702
310, -37.75550270822792
315, -39.01226635761667
320, -39.884989474633876
325, -41.24413103115554
330, -43.58430350103979
335, -45.4376941542016
340, -44.985732131566664
345, -42.289955126274634
350, -43.5967314416672
355, -44.23890768900168
360, -44.02745552963234
365, -44.81683963506882
370, -45.32759924399474
375, -46.2233356890556
380, -47.63570949478336
385, -47.77057495419142
390, -47.67110198866727
395, -47.988181012316325
400, -46.961242755979676
405, -43.9969468186927
410, -43.10246088255935
415, -45.623044147607445
420, -47.141840233077424
425, -46.446935177322096
430, -47.34240755506715
435, -50.16614444942541
440, -50.79987606140829
445, -46.448295887324484
450, -44.76404507036837
455, -42.52907346503189
460, -41.943821967251736
465, -44.970708408090516
470, -47.21103517657344
475, -50.47352045493572
480, -51.84115232723591
485, -51.08391413511658
490, -50.196299394190106
495, -49.57724574279265
500, -46.88745102266871
505, -42.670062497305175
510, -46.014122856512174
515, -51.150997658006375
520, -50.95126635525609
525, -49.21246058450362
530, -48.52399644222681
535, -49.22454003320214
540, -49.32070035322982
545, -49.14926678857237
550, -50.8417092760053
555, -51.12814113553091
560, -49.667553032255334
565, -48.299486242105026
570, -47.32123882411418
575, -45.041709364139436
580, -43.5996441331408
585, -46.72978275594676
590, -50.319803334637385
595, -52.74832772028509
600, -53.633378862412066
605, -52.55930416786111
610, -51.85009916110035
615, -51.913229033641954
620, -53.37294214272244
625, -55.41365499940749
630, -53.9702090947019
635, -54.22005222885345
640, -52.91705683363163
645, -51.592962667351365
650, -50.99668639422464
655, -52.4854353010665
660, -57.378981286432364
665, -58.98647324365925
670, -57.40674622386964
675, -53.98412513128582
680, -51.71435911412852
685, -52.068298939206464
690, -53.538946398384034
695, -53.58512461899662
700, -52.7842867964575
705, -51.069012568975666
710, -49.275576717335696
715, -51.60317423433056
720, -54.33939074453611
725, -54.75799654461986
730, -53.116396479386694
735, -49.434589176969226
740, -47.09324459422574
745, -48.924023776778185
750, -52.1832800491593
755, -54.07562658563979
760, -53.806744236042974
765, -50.40247601095708
770, -46.88763868474052
775, -50.74893637614051
780, -51.42076569020427
785, -51.26274457806618
790, -55.11813308169377
795, -56.01184192325053
800, -54.563869825622
805, -52.77867815463548
810, -54.16119724292064
815, -55.185450916676594
820, -54.265137955719325
825, -52.056754887017256
830, -51.84876228473917
835, -52.20522686987515
840, -52.458753734650685
845, -52.34934512049579
850, -53.306654709867104
855, -54.74629522495871
860, -55.449310392007014
865, -52.77173605087402
870, -47.60314720948747
875, -49.950416261935715
880, -50.897364526590685
885, -51.30857028149987
890, -50.63477953842812
895, -49.68669535221364
900, -49.78436515897085
905, -51.35439018563286
910, -52.86224279635067
915, -53.59428604891775
920, -53.288220977389784
925, -50.564097187882155
930, -49.762033495090144
935, -52.61440241685892
940, -52.96615517909139
945, -52.047559018543346
950, -49.038277196212924
955, -49.692979808929955
960, -53.70065398371521
965, -55.963413217975244
970, -55.50193433368855
975, -54.18063214961143
980, -53.47815023068764
985, -53.91722448685679
990, -53.28367363545575
995, -54.17216002451668
1000, -55.92334239946253
1005, -54.75320309812199
1010, -52.12203533051786
1015, -52.47391825431955
1020, -53.61863927640079
1025, -52.07539726285493
1030, -48.15900242827682
1035, -51.08691493892993
1040, -57.1790517477293
1045, -56.70879131818431
1050, -52.77312713265058
1055, -51.662957190214534
1060, -53.81764122760858
1065, -53.68462939479047
1070, -51.59331936173528
1075, -51.15995502278224
1080, -52.86021889420298
1085, -50.42827813978515
1090, -47.19068814468123
1095, -50.467145491358856
1100, -51.987294583872014
1105, -51.79514905820968
1110, -49.738208164925695
1115, -50.25425033304341
1120, -54.88859916720284
1125, -55.491484421599246
1130, -51.502492771929305
1135, -48.112765545874815
1140, -50.350905171314245
1145, -51.57118395433514
1150, -52.62924151564548
1155, -52.60330218399381
1160, -48.28528186297704
1165, -44.97035418024504
1170, -47.86327585531649
1175, -50.554230454214974
1180, -50.891974401273224
1185, -51.506998921078356
1190, -50.13534976342945
1195, -48.9447335455958
1200, -51.05352997899005
1205, -53.77755038267026
1210, -54.28822392311352
1215, -53.638032837995425
1220, -54.5841563731901
1225, -54.35147285264983
1230, -49.0965543981212
1235, -44.03572725973646
1240, -52.31215129092766
1245, -54.34600541988061
1250, -53.24390216563737
1255, -52.33928128727948
1260, -51.86191698300759
1265, -51.32358611073643
1270, -51.02614475506282
1275, -51.04790979185588
1280, -51.21639487175234
1285, -49.523100370369455
1290, -46.80425306135906
1295, -49.56576372003021
1300, -51.68843242666765
1305, -50.27807809945098
1310, -47.33212037137164
1315, -49.577563117038835
1320, -50.3971719179328
1325, -46.644535046456966
1330, -40.69595240678773
1335, -40.9794668007466
1340, -48.66000258377592
1345, -50.05850409761231
1350, -50.13936075786042
1355, -49.039950422814655
1360, -45.66456693616925
1365, -49.48138449643393
1370, -53.06077633885538
1375, -50.490390214604794
1380, -43.066287391927496
1385, -39.250448804929384
1390, -44.89303994282913
1395, -50.289837753807106
1400, -52.71171565188305
1405, -52.93820002161596
1410, -52.21507586792471
1415, -51.90855914406462
1420, -53.23607867155063
1425, -52.5088159430545
1430, -50.54350242284377
1435, -49.40637137351838
1440, -49.56368028297251
1445, -50.21062787414296
1450, -48.859008611448196
1455, -47.69288441059923
1460, -52.149386460174114
1465, -55.86301254876538
1470, -54.72466718524993
1475, -51.174257417922576
1480, -45.51002191830552
1485, -46.25272653085676
1490, -48.58384681743215
1495, -52.63777513746029
